Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Sterilisation für kommerzielle Konserven (12D); Messgröße; ; ; 12D, 99,999999999%, C. botulinum; Einmachen: Druckkonservierung; Die Druckkonservierung ist üblich bei der kommerziellen Sterilisation, die alle Mikroorganismen sowie 99,999999999% der C.-botulinum-Sporen in Lebensmitteln zerstört.
Temperatur zur Abtötung von C.-botulinum-Sporen; Messgröße; ; ; 115°C, 240°F, Sporen; Einmachen: Druckkonservierung; Um Sporen von C. botulinum zu vernichten, sind 115°C/240°F oder mehr erforderlich. Der genaue Wert hängt neben der Kochdauer auch von anderen Faktoren wie dem pH-Wert der Lebensmittel ab.
Einkochtopf vs. normaler Schnellkochtopf; Gerät; ; ; Einkochtopf, Manometer, geeichtes Gewicht; Einmachen: Druckkonservierung; In gewöhnlicher Ausführung verfügen Schnellkochtöpfe weder über ein Manometer noch ein geeichtes Gewicht, die für diese Konservierungsmethode unerlässlich sind.
Manometer zeigt Überdruck (nicht Absolutdruck); Physikalisches Prinzip; ; ; Manometer, Überdruck, Umgebungsdruck, 1 bar; Einmachen: Druckkonservierung; Ein Manometer misst nicht den absoluten Druck, sondern den Unterschied zwischen Innen- und Umgebungsdruck. Auf Meereshöhe beträgt der absolute Druck etwa 1 bar, dennoch zeigt das Manometer beim kalten Einkochtopf null an.
Siedepunkt in der Höhe beim Druckgaren; Physikalisches Prinzip; ; ; Denver, 114°C, Manometer 1 bar, Höhe; Einmachen: Druckkonservierung; Im 1600 m hoch gelegenen Denver liegt der Siedepunkt im Freien etwa 6°C niedriger. Bei angezeigtem Manometerdruck von 1 bar siedet Wasser schon bei 114°C – weniger als die gewünschten 120°C.
Entlüften des Druckkochtopfs vor dem Verschließen; Technik; ; ; Entlüften, 10 min sieden, Gewicht; Einmachen: Druckkonservierung; Man bringt das Wasser zum Simmern, gibt das Einmachgut hinein und setzt den Deckel auf. Das Wasser soll ohne Gewicht 10 min sieden, um so viel Dampf zu erzeugen, dass alle Luft durchs Ventil verdrängt wird. Dann setzt man den Gewichtstein auf.
Problem von Luft im Drucktopf (Daltonsches Gesetz); Physikalisches Prinzip; ; ; Daltonsches Gesetz, Partialdruck, 111°C, Manometer 120°C; Einmachen: Druckkonservierung; Enthält der Topf ein Gemisch aus 50% Luft und 50% Dampf bei 1 bar Überdruck, beträgt der Dampfdruck des Wassers nur 1,5 bar absolut. Damit erreicht Wasser nur etwas mehr als 111°C – nicht heiß genug für sichere Sterilisation, obwohl das Manometer 120°C suggeriert.
Schmoren (traditionell) – Definition; Technik; Fleisch; ; Braisieren, Glut, luftdicht, allseitig erhitzt; Schmoren: Einleitung; „Braisieren“ leitet sich ab vom französischen Begriff für die verglimmende Glut eines Feuers. Es bedeutet langsames Garen in einem luftdicht verschlossenen und von allen Seiten erhitzten Behälter.
Drei Wärmeübertragungszonen beim traditionellen Schmoren; Physikalisches Prinzip; Fleisch; ; Strahlung, Konvektion, Konduktion, 77-88°C; Schmoren: Die vergessene Kunst; In jeder Zone im Topfinneren dominiert eine Art der Wärmeübertragung: Strahlungszone (Infrarot von Deckel/Wänden), Konvektionszone (Feuchtluft, die das Fleisch saftig hält), Konduktionszone (Simmern am Topfboden mit 77–88°C).
Schmoren heute – Problem mit undichten Deckeln; Technik; Fleisch; ; undichter Deckel, Verdunstung, Feuchtkugeltemperatur; Schmoren: heute; Ohne dichten Verschluss kann sich die Luft im Topf nicht mit Feuchtigkeit sättigen. Daher werden alle Stellen, die nicht mit Flüssigkeit bedeckt sind, durch Verdunstung auf die Feuchtkugeltemperatur abgekühlt, die deutlich unter der Trockenkugeltemperatur der Ofenluft liegt. Gleichmäßiges Garen ist fast ausgeschlossen.
Einflussfaktoren auf die Schmortemperatur; Physikalisches Prinzip; Fleisch; ; Farbe der Pfanne, Topfgröße, Flüssigkeitspegel, Luftfeuchte; Schmoren: heute; Durch diese Faktoren kann die tatsächliche Schmortemperatur um bis zu 20°C/36°F schwanken, ohne dass Brenner- oder Ofentemperatur geändert würden.
Trockenes, zähes Schmorgericht – Ursache; Problem; Fleisch; ; Verdunstung, Kollagen, Gelatine, Austrocknen; Schmoren: heute; Fleisch enthält zwar mehr als genug Wasser, um zähes Kollagen in Gelatine zu verwandeln, doch wenn zu viel der natürlichen Flüssigkeit die Oberfläche erreicht und dort verdampft, trocknet es aus, und weniger Kollagen löst sich auf.
Abhilfe gegen Austrocknen (falsch); Technik; Fleisch; ; vollständig mit Flüssigkeit bedecken, Eintopf; Schmoren: heute; Das löst zwar das Kollagenproblem, aber es verwandelt auch den Schmor- in einen Eintopf. Selbstverständlich sind auch Eintöpfe köstlich, aber sie schmecken nun mal völlig anders als Geschmortes.
Moderne Alternative zum Schmoren; Technik; Fleisch; ; Sous-vide, Kontrolle; Schmoren: heute; Köche wenden sich nun mehr und mehr dem Sous-vide-Garen als einer modernen Alternative zum Schmoren zu, weil es weitaus größere Kontrolle erlaubt.
Geschmacksgewinn durch Wiederaufwärmen von Geschmortem; Chemie; Fleisch; ; Oxidationsreaktionen, Thymian, Rosmarin, Antioxidantien; Schmoren: Chemie; Schon die Epikureer in der Antike wussten, dass Geschmortes nach dem Abkühlen, Ruhen und erneuten Aufwärmen an neuem Geschmack gewinnen kann. Überraschenderweise entstehen die reichen Nuancen durch ähnliche Oxidationsreaktionen, die sonst Fleisch verderben.
Braten vs. Backen (historisch); Etymologie; ; ; braten, brühen, backen, austrocknen; Backen: Etymologie; Die Herkunft des Worts braten (bher = quellen, aufwallen, sieden) verweist darauf, dass Feuchtigkeit bei dieser Garmethode eine Rolle spielte. Backen leitet sich von bhög ab und bedeutete ursprünglich: Austrocknen durch Erhitzen im Ofen.
Ursprung des Backofens; Geschichte; ; ; Lehmziegel, trocknen, >5000 Jahre; Backen: Geschichte; Öfen wurden vor mehr als 5000 Jahren ursprünglich für das Trocknen von Lehmziegeln erfunden – und sie erwiesen sich als viel schneller und zuverlässiger als Trocknen in der Sonne.
Vorheizen des Backofens; Technik; ; ; Vorheizen, Wärmereservoir, Ofenwände; Backen: Vorheizen; Das Vorheizen ist so wichtig, weil es dem Ofen einen großen und halbwegs regulierbaren Vorrat an Wärmeenergie verschafft, mit dem er auf die Kältezufuhr beim Einschieben der Zutaten reagieren kann.
Grenzschicht (Backen); Physikalisches Prinzip; ; ; Grenzschicht, Konvektionswärme, Heißluftofen; Backen: Konvektion; Die sogenannte Grenzschicht ist wichtig beim Backen, weil sie für die Geschwindigkeit der Konvektionswärme bestimmend ist. Wer die Vor- und Nachteile eines Heißluftofens verstehen will, muss die Vorgänge in ihr kennen.
Feuchtkugeltemperatur; Definition; ; ; Feuchtkugeltemperatur, effektive Gartemperatur, Gardauer; Backen: tatsächliche Backtemperatur; Die Feuchtkugeltemperatur ist die eigentliche Ofentemperatur, welche die Gardauer festlegt. Sie kann nie heißer sein als die Trockenkugeltemperatur oder der Siedepunkt von Wasser. Sie steigt mit Zunahme der relativen Luftfeuchtigkeit dramatisch an.
Verdunstungskühlung beim Backen; Physikalisches Prinzip; ; ; Verdunstungskühlung, 250°C, 150°C niedriger; Backen: tatsächliche Backtemperatur; Bis zum vollständigen Trocknen der Oberfläche senkt Verdunstung ihre Außentemperatur unter den Siedepunkt von Wasser. Selbst bei 250°C liegt die Backtemperatur für die Zutaten mindestens 150°C niedriger.
Backen – Anlaufphase; Phase; ; ; Anlaufphase, Feuchtkugeltemperatur, Trocknung; Backen: Trockenphasen; In der ersten Phase (Anlaufphase) steigt die Temperatur an der Oberfläche der Zutaten schnell bis zur Feuchtkugeltemperatur an und verharrt dann auf einem festen Niveau bis zur deutlichen Trocknung der Oberfläche.
Backen – Konstantphase; Phase; ; ; Konstantphase, Verdunstung, Kapillarwirkung, Diffusion; Backen: Trockenphasen; Es folgt die Konstantphase, bei der Wasser in die Luft verdunstet, aber genauso schnell wieder durch Kapillarwirkung und Diffusion ersetzt wird, die Säfte aus dem feuchten Inneren zur Oberfläche befördern.
Backen – Fallphase; Phase; ; ; Fallphase, Kruste, Verdunstung, Kapillarwirkung; Backen: Trockenphasen; Die dritte Phase (Fallphase) setzt ein, wenn die Oberfläche auszutrocknen beginnt. Die Verdunstung erhält einen Vorsprung gegenüber Kapillarwirkung und Diffusion, sodass die Säfte nicht mehr rechtzeitig zur Oberfläche gelangen, um sie feucht zu halten. Es bildet sich eine appetitliche Kruste.
Bierdosenhähnchen – Funktionsprinzip; Technik; Hähnchen; ; Bierdosenhähnchen, Haut lösen, aufrechte Position, zweistufig; Backen: Bierdosenhähnchen; Die Idee: Lösen der Haut, die sich sonst ballonartig aufbläst. Durch die Lockerung zum feuchten Fleisch kann die Haut trocknen. Durch das Stehen auf der Dose laufen die Fleischsäfte ab, sodass sie die Haut nicht durchweichen. Die aufrechte Position gestattet auch ein freies Strömen der Luft über alle Hautpartien.
Bierdosenhähnchen – Temperaturführung; Technik; Hähnchen; ; 80°C, Kerntemperatur 60-65°C, 3-4 h, dann volle Hitze; Backen: Bierdosenhähnchen; Bei 80°C backen, bis Kerntemperatur 60–65°C erreicht ist (3–4 h). Dann Ofen voll aufdrehen, 20 min vorheizen, Hähnchen goldbraun backen (Umluft oder Heißluft zuschalten).
Füllmenge beeinflusst Backzeit (Beispiel 180°C); Messgröße; ; ; Füllmenge, Feuchttemperatur, 99°C, 88°C, 65°C; Backen: gleichmäßiges Backen; Nach 20 min Backen bei 180°C erreicht ein voll beladener Ofen eine Feuchttemperatur von 99°C, ein mäßig beladener 88°C, ein gering beladener nur 65°C. Ein ganz gefüllter Ofen backt also oft schneller.
Höhenabhängigkeit der Feuchtkugeltemperatur (Backen); Physikalisches Prinzip; ; ; Höhe, Siedepunkt, New York, Mexiko-Stadt, 6°C; Backen: Standort; Der Siedepunkt von Wasser fällt mit der Höhe, und da die Feuchtkugeltemperatur nie heißer sein kann als der Siedepunkt von Wasser, wird der New Yorker Ofen schließlich heißer. Nach 3 h backt er um 6°C/11°F heißer.
Frittieren – Vergleich mit Backen; Technik; ; ; Frittieren, Backen, konvektives Fluid, drei Phasen; Garen in Öl; Frittieren funktioniert ähnlich wie Backen. In beiden Fällen überträgt ein konvektives Fluid Wärme auf das Lebensmittel. Beim Frittieren bilden sich die gleichen unterscheidbaren Garzonen, und Feuchtigkeit spielt ebenfalls eine wichtige Rolle.
Frittiertemperaturen; Messgröße; ; ; 150-200°C, 300-390°F, Rauchpunkt; Garen in Öl; Frittiertemperaturen sind niedriger als Ofentemperaturen, weil Öl entflammt, sobald es zu nahe an seinen Rauchpunkt kommt. Man würde ohnehin nicht über 200°C frittieren, weil die Oberfläche verbrennen würde, bevor das Innere gart.
Blasen beim Frittieren; Physikalisches Prinzip; ; ; Dampfblasen, Wasserdampf, Ölverdrängung; Garen in Öl; Verblüffenderweise enthalten die Blasen, die beim Frittieren aufsteigen, nur Wasser – in Form von Dampf. Bis die Oberfläche trocknet, bleibt sie auf Feuchtkugeltemperatur, die den Siedepunkt von Wasser nicht übersteigt.
Biot-Zahl – Definition (Frittieren); Messgröße; ; ; Biot-Zahl, h*V/(A*k), Gleichmäßigkeit; Garen in Öl; Die Biot-Zahl beziffert das Verhältnis zwischen der Wärmeübertragung vom Öl an die Oberfläche und der Wärmeübertragung in den Kern. Bei einer sehr kleinen Zahl erwärmt sich der Kern fast so schnell wie die Oberfläche (z.B. Kartoffelchips).
Größenänderung für besseres Frittierergebnis; Faustregel; ; ; Volumen halbieren, Garzeit Viertel; Garen in Öl; Schneiden Sie im Zweifelsfall das Frittiergut in kleinere Stücke, die eine niedrigere Biot-Zahl haben als größere und sich auch rascher bis zum Kern erhitzen. Wenn Sie das Volumen halbieren, verringern Sie die Garzeit auf bis zu ein Viertel.
Verhalten von frischem vs. altem Frittieröl; Chemie; ; ; frisches Öl, altes Öl, Emulgatoren, Kontaktzeit, Bräunung; Garen in Öl; Frittiergut in frischem Öl ist nur ein Zehntel der Garzeit in Kontakt mit dem heißen Öl – schwache Bräunung. In „einfrittiertem“ Öl steht es mehr als die Hälfte der Zeit in Kontakt – gleichmäßig goldbraune Farbe. Aber altes Öl kann schäumen, ranzig riechen und den Flammpunkt senken (Fettbrandgefahr).
Frittieren in mehreren Durchgängen; Technik; ; ; zwei Durchgänge, 120-140°C, 180-200°C; Garen in Öl; Garen Sie das Frittiergut zuerst bei 120–140°C ganz durch. Entnehmen Sie es und erhöhen Sie die Öltemperatur auf 180–200°C. Geben Sie es dann wieder hinein, bis sich eine goldbraune Kruste entwickelt.
Confit – ursprünglicher Zweck; Technik; Fleisch; ; Confit, Konservierung, Pökeln, Fett; Garen in Öl: Confit; Ursprünglich diente Confit der Konservierung von Fleisch durch Einsalzen, langsames Garen in Fett und anschließendes Luftabschließen – monatelang haltbar ohne Kühlung.
Confit – heutige Praxis; Technik; Fleisch; ; Confit, Kühlung, Pasteurisierung, Sous-vide; Garen in Öl: Confit; Heute wird Confit aus Geschmacksgründen zubereitet, nicht zur Konservierung. Ungepökeltes Confit muss gekühlt werden und unterliegt denselben Sicherheitsregeln wie Sous-vide-Garen.
Confit – Rolle des Fetts; Technik; Fleisch; ; Confit, Fett, Geschmack, Textur; Garen in Öl: Confit; Das Fett ist nicht entscheidend für das Endprodukt – wichtig sind Zeit und Temperatur. Selbst ein öliger Überzug nach dem Garen kann aus einem einfach gegarten Stück ein opulentes Confit machen.
Confit – Fetteindringtiefe; Physikalisches Prinzip; Fleisch; ; Confit, Fett, Diffusion, Oberfläche, 1 mm; Garen in Öl: Confit; Öl dringt beim Confit nicht mehr als einen Millimeter ins Fleischinnere ein – das reicht für den Geschmack, da das Fett an der Oberfläche entscheidend ist.
Confit – Sous-vide als Alternative; Technik; Fleisch; ; Confit, Sous-vide, Vakuum; Garen in Öl: Confit; Die einfachste Zubereitungsmethode für Confit ohne Ölbad ist Sous-vide-Garen. Der Beutel hält das Fett an der Oberfläche, wenn es abkühlt.
Flachbraten – Ölmenge; Technik; Fleisch, Fisch; ; Flachbraten, Öl, Pfanne, Kruste; Garen in Öl: Flachbraten; Flachbraten (in der Pfanne mit viel Öl) ähnelt eher dem Frittieren als dem Pfannenbraten. Eine Übersättigung mit Öl ist der Schlüssel zum Erfolg.
Flachbraten – Vorteil von mehr Öl; Technik; Fleisch, Fisch; ; Flachbraten, Öl, Temperatur, Kruste; Garen in Öl: Flachbraten; Mehr Öl in der Pfanne hält die Temperatur hoch, macht die Kruste dünner und weniger saugfähig – das Ergebnis ist weniger fettig.
Frittieröl – Veränderung beim Erhitzen; Chemie; ; ; Oxidation, Peroxide, Emulgatoren; Garen in Öl: Frittieröl-Chemie; Beim Erhitzen oxidieren Fettmoleküle zu hochreaktiven Peroxiden. Diese reagieren weiter und bilden Aromen. Nach wiederholtem Gebrauch entstehen Emulgatoren, die Öl und Wasser besser mischen.
Frittieröl – Emulgatoren-Effekt; Chemie; ; ; Emulgatoren, Kontaktzeit, Bräunung; Garen in Öl: Frittieröl-Chemie; In „einfrittiertem“ Öl (mit Emulgatoren) steht das Frittiergut mehr als die Hälfte der Garzeit in Kontakt mit dem Öl – es wird gleichmäßiger goldbraun.
Frittieröl – Zeichen für altes Öl; Sicherheitshinweis; ; ; Schäumen, ranzig, Flammpunkt, Brandgefahr; Garen in Öl: Frittieröl-Chemie; Frittieröl muss ausgetauscht werden, wenn es zu schäumen beginnt oder ranzig riecht. Altes Öl hat einen niedrigeren Flammpunkt – erhöhte Brandgefahr.
Frittieröl – Auswahlkriterien; Materialkunde; ; ; gesättigt, ungesättigt, Schmelzpunkt, Rauchpunkt; Garen in Öl: Ölauswahl; Gesättigte Öle sind stabiler und bleiben länger im Bestzustand. Ungesättigte Öle (besonders mehrfach ungesättigte) werden schneller ranzig. Für kalt zu servierende Frittiertes sollte das Öl unter Körpertemperatur schmelzen.
Räuchern – ideale Glimmtemperatur; Technik; ; ; Räuchern, Hartholz, 400°C, Phenole; Räuchern: Grundlagen; Rauch aus Hartholz, das bei etwa 400°C/750°F glimmt, liefert die schmackhaftesten Räucherprodukte. Phenole und andere aromatische Substanzen gelangen in den Rauch, unerwünschte Säuren bleiben gebunden.
Rauch – Zusammensetzung; Chemie; ; ; Rauch, Ruß, Teer, Gase, 10% Volumen, 90% Wirkung; Räuchern: Chemie; Rauch ist eine Mischung aus festen Rußpartikeln, flüssigen Teer- und Öltröpfchen sowie unsichtbaren gasförmigen Verbindungen. Die Gase (ca. 10% des Volumens) bewirken über 90% der Geschmacksbildung, Konservierung und Farbe.
Rauch – Adsorption von Gasen; Physikalisches Prinzip; ; ; Adsorption, Diffusion, Gase, Tröpfchen; Räuchern: Chemie; Gasförmige organische Verbindungen adsorbieren an der Oberfläche des Räucherguts, reagieren dort und diffundieren ins Innere – anders als flüssige Tröpfchen, die nur oberflächlich haften.
Räucherring – Bedeutung; Glossar; Fleisch; ; Räucherring, Myoglobin, Kohlenmonoxid, Stickstoffoxid; Räuchern: Räucherring; Der Räucherring entsteht durch Reaktion von Stickstoffoxid und Kohlenmonoxid mit Myoglobin im Muskelgewebe. Er trägt nichts zum Geschmack bei, zeigt aber, wie weit Aromen maximal vorgedrungen sind.
Räucherhaut – Qualitätsindikator; Technik; ; ; Räucherhaut, trocken, klebrig, Farbe; Räuchern: Praxis; Eine trockene, leicht klebrige Haut mit gleichmäßiger Färbung zeigt optimale Bedingungen für Adsorption und Diffusion der Aromen an. Harte Haut = zu intensive Trocknung; blasse, feuchte Haut = Produkt zu feucht.
Kalträuchern – Temperatur; Technik; Fleisch, Fisch; ; Kalträuchern, 20-30°C, Pökelsalz, Botulismus; Räuchern: Kalträuchern; Kalträuchern findet bei 20–30°C (oder darunter) statt. Diese Temperaturen pasteurisieren nicht. Daher werden kalträucherte Produkte traditionell zuerst gepökelt (Nitrit-/Nitratsalze) oder dürfen nicht länger als 4 Stunden bei Raumtemperatur geräuchert werden.
Heißräuchern – Temperatur; Technik; Fleisch, Fisch; ; Heißräuchern, 70-80°C, Barbecue; Räuchern: Heißräuchern; Heißräuchern bei mindestens 52°C, meist 70–80°C. Die Räucherdauer ist kürzer als beim Kalträuchern, da Garen und Pasteurisieren im Vordergrund stehen.
Barbecue (amerikanisch) – Räucherzeiten; Technik; Fleisch; ; Barbecue, 8-24 Stunden, Kollagen, Feuchtigkeit; Räuchern: Barbecue; Amerikanisches Barbecue räuchert 8 Stunden oder länger (ganzes Schwein bis zu 24 Stunden). Das langsame, feuchte Garen löst Kollagen auf. Während langer Räucherprozesse muss zusätzlich Feuchtigkeit zugeführt werden (Wasserschalen, Besprühen).
Flüssigrauch – Herstellung; Technik; ; ; Flüssigrauch, Kondensat, Adsorption, Kanzergene; Räuchern: Flüssigrauch; Flüssigrauch wird aus echtem Rauch gewonnen, der durch eine Adsorptionssäule geleitet wird. Die Substanzen werden mit Wasser abgespült, Teere und Kanzergene setzen sich ab, das aromatische Wasser wird mehrfach filtriert.
Flüssigrauch – Anwendung; Technik; Fleisch, Fisch; ; Flüssigrauch, Tauchen, Garen, Bräunung; Räuchern: Flüssigrauch; Für beste Ergebnisse das rohe Produkt 45–60 Sekunden in verdünnten Flüssigrauch tauchen (Oberfläche klebrig-trocken). Anschließend Garen, damit die Carbonyle mit Proteinen reagieren und bräunen.
CVap – Funktionsprinzip; Gerät; ; ; CVap, Dampfgarer, Feuchttemperatur, Trockentemperatur; Garen in modernen Öfen: CVap; CVap (controlled vapor) hat einen Wasserbehälter mit Heizelement am Boden und weitere Heizelemente an den Seiten. Über „Garstufe“ (Doneness) wird die Wassertemperatur (Feuchttemperatur) geregelt, über „Bräunung“ (Browning) die Trockentemperatur.
CVap – Betriebsarten; Gerät; ; ; CVap, Niedrigtemperaturdämpfen, Kombimodus; Garen in modernen Öfen: CVap; Bräunungsstufe 0: Nur Feuchttemperatur, entspricht Niedrigtemperaturdämpfen (100% rel. Feuchte). Bräunungsstufe 1-4: Trockentemperatur leicht über Feuchttemperatur – hält Knuspriges warm. Bräunungsstufe 5-10: Kombimodus – gleichzeitiges Garen und Bräunen.
CVap – maximale Temperatur; Gerät; ; ; CVap, Temperatur, 180°C; Garen in modernen Öfen: CVap; Selbst bei Bräunungsstufe 10 erreicht die Trockentemperatur maximal 180°C/356°F – für starkes Bräunen relativ niedrig, da der CVap ursprünglich als Warmhalteschrank entwickelt wurde.
Kombidämpfer – Funktionsprinzip; Gerät; ; ; Kombidämpfer, Dampf, Heißluft, Rational; Garen in modernen Öfen: Kombidämpfer; Kombidämpfer leiten Dampf direkt in den abgedichteten Garraum und können gleichzeitig oder getrennt mit Dampf und trockener Heißluft garen. Sie eignen sich zum Dämpfen, Gären, Backen, Grillen, „Frittieren im Ofen“.
Kombidämpfer – Temperaturgenauigkeit; Gerät; ; ; Kombidämpfer, Temperaturschwankung, unter 60°C; Garen in modernen Öfen: Kombidämpfer; Unter 60°C/140°F ist die Temperaturregelung ungenau. Für Fisch (45°C) oder blutiges Fleisch (50°C) ist ein Wasserbad besser geeignet.
Kombidämpfer – relative Feuchte vs. Garraumfeuchte; Messgröße; ; ; Rational, Garraumfeuchte, Wasserdampfanteil; Garen in modernen Öfen: Kombidämpfer; Die von Rational definierte „Garraumfeuchte“ ist der Massenanteil von Wasserdampf an der gesamten Luft-Wasser-Mischung. Bei 30°C sind nur Werte von 0–2,6% möglich, bei 60°C nur 0–13% – die Skala ist in der Praxis meist nutzlos.
Kombidämpfer – praktisch nutzbare Feuchteeinstellungen; Gerät; ; ; Kombidämpfer, 0% oder 100%, Trocknen, Dämpfen; Garen in modernen Öfen: Kombidämpfer; In der Praxis hat man bei Feuchte-Einstellungen nur die Wahl zwischen 0% (zum Trocknen) und 100% (zum Niedrigtemperaturdämpfen). Zwischenwerte bringen keine signifikanten Unterschiede.
Kombidämpfer – Niedrigtemperaturdämpfen; Technik; ; ; Kombidämpfer, 60°C, Sous-vide-ähnlich; Garen in modernen Öfen: Methoden; Beim Niedrigtemperaturdämpfen im Kombidämpfer (30–100°C, 100% Feuchte) lassen sich ähnliche Ergebnisse wie beim Sous-vide-Garen erzielen – ohne Vakuumbeutel. Geeignet für große Braten, Truthähne, Crème brûlée.
Kombidämpfer – Heißluftbetrieb; Technik; ; ; Kombidämpfer, Trocknen, Bräunen, 0% Feuchte; Garen in modernen Öfen: Methoden; Im Heißluftbetrieb (0% Feuchte) kann man bei 30–90°C trocknen oder bei 175–300°C bräunen/rösten. Die maximal einstellbare Feuchte wird nicht überschritten, aber auch nicht aktiv zugeführt.
Kombidämpfer – Garprogramme; Gerät; ; ; Kombidämpfer, Nachtgarung, Kerntemperaturfühler; Garen in modernen Öfen: Garprogramme; Computersteuerung mit Kerntemperaturfühler ermöglicht mehrstufige Programme (z.B. „Nachtgarung“: Bräunen → stundenlanges Niedrigtemperaturdämpfen → Warmhalten). Ergebnisse ähnlich Sous-vide, aber mit größeren Mengen.
